SampleID,DOC
G005,2.32
G007,4.34
G008,2.03
G010,5.89
G012,5.36
G013,3.22
G016,2.96
G017,6.8
G018,6.21
G020,5.72
G021,5.22
G022,3.65
G023,5.48
G024,7.39
G025,3.56
G026,5.94
G027,1.82
G028,1.91
G029,1.78
G030,1.78
G031,1.8
G032,1.86
G033,1.77
G034,1.87
G035,1.83
G036,1.75
G037,2.17
G038,2.24
G039,2.09
G040,1.98
G041,2.21
G042,1.99
G043,1.94
G044,1.73
G045,1.76
G046,1.96
G047,2.06
G048,1.84
G049,2.28
G050,2.04
G051,2.03
G052,2.01
G053,1.96
G054,1.92
G055,2.06
G056,1.8
G058,3.63
G059,1.97
G060,2.08
G061,2.31
G062,2.42
G063,1.9
G064,1.9
G065,2.24
G067,2.33
G068,2.18
G069,1.95
G070,2.17
G072,1.92
G078,2.77
G079,2.59
G080,3.53
G081,2.95
